Venue,Venue ID,Venue Latitude,Venue Longitude,Venue Category,Borough
PAN | Palazzo delle Arti Napoli,4bc37936920eb713e2811d2c,40.83640260476475,14.23689804503165,Art Museum,Chiaia
Frozen - Yogurt & Gelati,4e3975d6d22dea80c5307e39,40.83665531629948,14.235202697002645,Frozen Yogurt Shop,Chiaia
Piazza Amedeo,4cfbfbeaa9042c0f1723e20a,40.8372172866394,14.23372476540961,Plaza,Chiaia
Leopoldo Infante S.r.l.,4ed9fdbb775bcc53fa086b0c,40.83664312557747,14.235603882995505,Café,Chiaia
Friggitoria Vomero,4cd193e9de0f6dcb3bdb7163,40.842804889691074,14.232924290836515,Friterie,Vomero
Antica Osteria da Tonino,4c90bc702626a1cdcce72b6b,40.835837945568926,14.235849911266332,Italian Restaurant,Chiaia
Fonoteca,4c632da2edd320a19dd1ae29,40.843104865782635,14.234029905248962,Record Shop,Vomero
Morrigan,4dcd8dc0fa7664b7c6919e2f,40.84372955816367,14.235626525869884,Pub,Vomero
16 libbre - bakery café,545f4b35498ea3c6bbc7a03f,40.83526016903429,14.236332485204125,Bakery,Chiaia
Trip,4b994acff964a520a57035e3,40.836533178263785,14.233067035675047,Cocktail Bar,Chiaia
Louis Vuitton,4d1dd625f7a9a143a2cf139f,40.83675437170841,14.240190982818605,Boutique,Chiaia
Il Gelato Mennella,51d6fa18498ed55497d6c342,40.83590411441306,14.237076219978965,Ice Cream Shop,Chiaia
Moccia,4bff6b51e584c9282b366e25,40.835356006677976,14.23592919519001,Dessert Shop,Chiaia
Cafè Amadeus,4e2c4d7ed164223a698a9537,40.83692978029717,14.233971793249044,Bar,Chiaia
Via Dei Mille,515f9e5ce4b00d82f870ea59,40.83655742028787,14.24012817783259,Boutique,Chiaia
Pizzeria da Michele Maestri dal 1937 S.r.l.,4e3a880d2271ead2c0f0e569,40.83642436105643,14.23293919698637,Pizza Place,Chiaia
Trianon,4bddb926ffdec928c126e6a1,40.84321189985822,14.234252406618287,Pizza Place,Vomero
Carrefour Express,4cde792df8cdb1f789498b12,40.839645000000004,14.241512,Convenience Store,Montecalvario
Belvedere Sant'Antonio a Posillipo,4f1aa206e4b0c74ef0fca2ef,40.828133375652975,14.21821354309582,Scenic Lookout,Chiaia
Hotel Paradiso Best Western,4c7df92d3b22a1cdb293609e,40.826196,14.217460999999998,Hotel,Chiaia
Paradisoblanco,4c50972e5ee81b8d22abd6fe,40.82627001561354,14.217496274891547,Restaurant,Chiaia
50 Kalò di Ciro Salvo,52ffbe45498e6780e05c244b,40.828599536103894,14.22013537565796,Pizza Place,Chiaia
Chalet Ciro,4c4b1a49c9e4ef3b9bbef310,40.826209999999996,14.21977,Café,Chiaia
Friggitoria Mediterranea,531f0773498e531d75a714f5,40.82545743072308,14.22041407911993,Seafood Restaurant,Chiaia
Pfp Friedaway,53efb299498eec00f04bcf26,40.82721,14.220220000000001,Restaurant,Chiaia
Ciro a Mergellina,51c36400498ef765a7ba235a,40.82575,14.219870000000002,Restaurant,Chiaia
Il Miracolo Dei Pesci,4fa97b18e4b047ccd1ac9642,40.82329301546412,14.217893637728885,Restaurant,Posillipo
Pizzeria Pasqualino,4e48293c183849317e8e4d7e,40.829409965492594,14.219910003030614,Pizza Place,Chiaia
Stazione Napoli Mergellina,4e566919ae6040e96e022bad,40.83141669623016,14.218955169573938,Train Station,Chiaia
Piazza Sannazaro,4ced56d228abb60c5963b709,40.82913027092,14.220124566705074,Plaza,Chiaia
Fratelli La Bufala,4c4df100c1f5ef3bfe9b12ab,40.82828160270048,14.220904294619329,Pizza Place,Chiaia
Funicolare di Mergellina - S. Gioacchino,4ca0fc700df79c7426c1301a,40.826681359291634,14.216230397777613,Cable Car,Chiaia
Da Totore a Mergellina,4d0e75bb3a1d236a51274e30,40.829532319756346,14.219444498715124,Pizza Place,Chiaia
Funicolare di Mergellina - Parco Angelina,4ca0fbeb0df79c74b9ba301a,40.82552619145868,14.213755441682348,Cable Car,Posillipo
Sua Maestà La Pizza,559cf11b498ed63a891af27d,40.828157,14.212604999999998,Pizza Place,Fuorigrotta
Piazza Del Leone,4f83f77ce4b0163076de7282,40.82801377565496,14.21975803596628,Plaza,Chiaia
Funicolare di Mergellina - Manzoni,4d401e05bd53f04d542a4115,40.825777010280746,14.21257495880127,Cable Car,Posillipo
Funicolare di Mergellina - Mergellina,4ca0fd290df79c742bc5301a,40.82630690693395,14.219801400203009,Cable Car,Chiaia
Molo di Sovraflutto Sannazzaro (Molo Luise) | Porto di Napoli,4dc18c6f52b1877d85b6a852,40.82642722891596,14.220453816163724,Pier,Chiaia
Chalet delle Palme,4e58b4c462e1de72f6e72b91,40.82599482630179,14.220243777628554,Café,Chiaia
